"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"ensembl_gene_id"	"chromosome_name"	"external_gene_name"	"padj"	"gene"
12.838867558115	11.1503831817252	0.249035672032429	0.807464980113269	0.999055673530808	-4.59530714509149	"ENSG00000198855"	NA	NA	0.999055673530808	NA
10.8524852442086	-36.4391688472917	0.249009417965828	0.807484829273812	0.999055673530808	-4.595307147901	"ENSG00000126267"	NA	NA	0.999055673530808	NA
-6.06748574026651	6.63781707555571	-0.248986702626216	0.807502003123041	0.999055673530808	-4.5953071503316	"ENSG00000163879"	NA	NA	0.999055673530808	NA
-8.31534356979848	-15.5168366271141	-0.248976021334807	0.807510078710386	0.999055673530808	-4.59530715147444	"ENSG00000115137"	NA	NA	0.999055673530808	NA
-8.33817103811506	-7.82319752640557	-0.248898623676033	0.807568595878893	0.999055673530808	-4.59530715975419	"ENSG00000135446"	NA	NA	0.999055673530808	NA
8.68189802128097	8.30914710434183	0.248826523160916	0.807623109187765	0.999055673530808	-4.59530716746499	"ENSG00000264151"	NA	NA	0.999055673530808	NA
12.1804690750869	-84.3620971096025	0.248774790221604	0.807662223755253	0.999055673530808	-4.59530717299624	"ENSG00000138035"	NA	NA	0.999055673530808	NA
-12.4825485353009	0.609116070106973	-0.248768275208395	0.807667149706002	0.999055673530808	-4.59530717369273	"ENSG00000274317"	NA	NA	0.999055673530808	NA
9.23384968214087	0.279274213491756	0.248717034941124	0.807705892372572	0.999055673530808	-4.59530717917005	"ENSG00000231006"	NA	NA	0.999055673530808	NA
-7.42042002925862	0.758919047947478	-0.248706642901754	0.807713749838178	0.999055673530808	-4.59530718028077	"ENSG00000149596"	NA	NA	0.999055673530808	NA
29.4521869368433	276.004372716225	0.248603410173823	0.807791805734098	0.999055673530808	-4.59530719131199	"ENSG00000187185"	NA	NA	0.999055673530808	NA
-15.5153721713729	151.070618524798	-0.248528067252839	0.807848775067612	0.999055673530808	-4.59530719936014	"ENSG00000248318"	NA	NA	0.999055673530808	NA
6.38019713337727	19.2849172370228	0.248453560536276	0.807905113247758	0.999055673530808	-4.59530720731661	"ENSG00000168939"	NA	NA	0.999055673530808	NA
-7.31285683663453	33.6896996116196	-0.248377991996426	0.807962255471137	0.999055673530808	-4.59530721538409	"ENSG00000231718"	NA	NA	0.999055673530808	NA
9.04735851762865	-63.161093810884	0.248375868789565	0.807963860980797	0.999055673530808	-4.59530721561072	"ENSG00000065613"	NA	NA	0.999055673530808	NA
-12.4444604964712	22.5118021019761	-0.248349312632895	0.807983942080906	0.999055673530808	-4.59530721844519	"ENSG00000226721"	NA	NA	0.999055673530808	NA
-16.2088996142873	18.4457204780721	-0.248314817694889	0.808010026501327	0.999055673530808	-4.59530722212655	"ENSG00000174016"	NA	NA	0.999055673530808	NA
-7.01130679481001	7.19566184009361	-0.248299377198903	0.808021702390596	0.999055673530808	-4.59530722377422	"ENSG00000103723"	NA	NA	0.999055673530808	NA
13.6509955517021	-70.0293415512051	0.248291222831527	0.808027868629738	0.999055673530808	-4.59530722464435	"ENSG00000055483"	NA	NA	0.999055673530808	NA
13.7469809609658	-30.5837942775373	0.248284917216283	0.808032636872921	0.999055673530808	-4.59530722531718	"ENSG00000116586"	NA	NA	0.999055673530808	NA
-12.5396639615263	-71.6357483409839	-0.248243405628229	0.808064027721192	0.999055673530808	-4.59530722974618	"ENSG00000066136"	NA	NA	0.999055673530808	NA
12.3127403907496	-54.9612038193201	0.248178957913652	0.808112763439615	0.999055673530808	-4.59530723662088	"ENSG00000178234"	NA	NA	0.999055673530808	NA
8.57781174980222	-22.115205098917	0.248121120015694	0.808156501492482	0.999055673530808	-4.59530724278901	"ENSG00000181817"	NA	NA	0.999055673530808	NA
17.2868978631012	-55.0058258801841	0.248080217404076	0.808187433186763	0.999055673530808	-4.59530724715023	"ENSG00000178980"	NA	NA	0.999055673530808	NA
12.7543980759078	5.26973732705259	0.248064359832702	0.80819942521484	0.999055673530808	-4.59530724884084	"ENSG00000198939"	NA	NA	0.999055673530808	NA
38.2762775717768	397.683525878805	0.247992822216792	0.808253524993841	0.999055673530808	-4.59530725646632	"ENSG00000064205"	NA	NA	0.999055673530808	NA
6.2397723976768	7.12810872873809	0.247919153712016	0.808309237321026	0.999055673530808	-4.59530726431669	"ENSG00000164749"	NA	NA	0.999055673530808	NA
9.88364996376	8.63619553454938	0.247832748780612	0.808374583056394	0.999055673530808	-4.59530727352138	"ENSG00000259287"	NA	NA	0.999055673530808	NA
15.3335610001885	11.2124851146367	0.247719860375579	0.808459959802817	0.999055673530808	-4.59530728554262	"ENSG00000279267"	NA	NA	0.999055673530808	NA
-6.83165863839948	-64.0769248736711	-0.247702670205213	0.808472960839286	0.999055673530808	-4.59530728737269	"ENSG00000225190"	NA	NA	0.999055673530808	NA
-7.00828106218342	-33.8913602154969	-0.247689990324464	0.80848255075288	0.999055673530808	-4.59530728872251	"ENSG00000138078"	NA	NA	0.999055673530808	NA
6.11588719047622	-15.5401061556747	0.247660352753652	0.808504966054101	0.999055673530808	-4.59530729187729	"ENSG00000196998"	NA	NA	0.999055673530808	NA
-7.81177979010757	-11.073638428631	-0.247511344486072	0.808617665733193	0.999055673530808	-4.59530730773289	"ENSG00000229839"	NA	NA	0.999055673530808	NA
14.8605642556568	-63.5632878239295	0.247511319540291	0.808617684600852	0.999055673530808	-4.59530730773554	"ENSG00000141378"	NA	NA	0.999055673530808	NA
-8.03214953804392	16.1289171679801	-0.24748378837077	0.808638507787494	0.999055673530808	-4.59530731066404	"ENSG00000261448"	NA	NA	0.999055673530808	NA
6.093588986749	-0.872695766832415	0.24737837339606	0.808718239763869	0.999055673530808	-4.59530732187412	"ENSG00000126603"	NA	NA	0.999055673530808	NA
16.0328654618476	-36.6908200403033	0.247292475368022	0.808783211500647	0.999055673530808	-4.59530733100526	"ENSG00000099875"	NA	NA	0.999055673530808	NA
50.4686807517653	471.80267477226	0.247212138402448	0.808843978293325	0.999055673530808	-4.59530733954243	"ENSG00000229853"	NA	NA	0.999055673530808	NA
-13.1595392958562	-65.2510917078701	-0.247168837556622	0.808876731544424	0.999055673530808	-4.59530734414275	"ENSG00000180098"	NA	NA	0.999055673530808	NA
-5.45162506882336	19.0773988837332	-0.24702604096903	0.808984747177077	0.999055673530808	-4.59530735930801	"ENSG00000119125"	NA	NA	0.999055673530808	NA
10.1034696549717	-14.9672689649066	0.247017867576122	0.808990929901354	0.999055673530808	-4.59530736017578	"ENSG00000174306"	NA	NA	0.999055673530808	NA
80.848793726948	379.453312975782	0.246825187030472	0.809136686076668	0.999055673530808	-4.59530738062452	"ENSG00000146555"	NA	NA	0.999055673530808	NA
-5.93678806001279	14.5013183800726	-0.246784548642206	0.80916742856626	0.999055673530808	-4.59530738493538	"ENSG00000142279"	NA	NA	0.999055673530808	NA
-12.2794493556742	137.28598241762	-0.246720285963868	0.809216043246343	0.999055673530808	-4.59530739175085	"ENSG00000186792"	NA	NA	0.999055673530808	NA
17.0181495711395	-85.7024764576498	0.246711854889735	0.80922242141076	0.999055673530808	-4.59530739264489	"ENSG00000116604"	NA	NA	0.999055673530808	NA
-20.8312688376019	194.551897776968	-0.246643678982427	0.809273997468802	0.999055673530808	-4.59530739987324	"ENSG00000224117"	NA	NA	0.999055673530808	NA
12.6056327378927	-16.8986352132865	0.24661812167381	0.809293332182287	0.999055673530808	-4.59530740258245	"ENSG00000270011"	NA	NA	0.999055673530808	NA
10.6457810968646	-23.614335623367	0.246496556000454	0.809385301309076	0.999055673530808	-4.59530741546528	"ENSG00000186448"	NA	NA	0.999055673530808	NA
60.4946070146179	6.68770915242623	0.246481330727852	0.809396820024863	0.999055673530808	-4.59530741707833	"ENSG00000137266"	NA	NA	0.999055673530808	NA
12.0088445642319	-10.1461666082513	0.246376420167124	0.809476191621019	0.999055673530808	-4.59530742819047	"ENSG00000115128"	NA	NA	0.999055673530808	NA
-12.767190311757	-25.5621517613596	-0.246373142274905	0.809478671593184	0.999055673530808	-4.59530742853759	"ENSG00000234494"	NA	NA	0.999055673530808	NA
-11.0153268809038	-37.5914868806907	-0.246261406218177	0.809563209618629	0.999055673530808	-4.59530744036743	"ENSG00000165752"	NA	NA	0.999055673530808	NA
-14.7843353620092	-5.17411925281905	-0.246165627677574	0.80963567639115	0.999055673530808	-4.59530745050362	"ENSG00000185834"	NA	NA	0.999055673530808	NA
-8.8777976175639	1.35136849391793	-0.246154425338299	0.809644152286421	0.999055673530808	-4.5953074516889	"ENSG00000139187"	NA	NA	0.999055673530808	NA
8.16887053813464	1.80154710110308	0.245952246234141	0.809797129026591	0.999055673530808	-4.59530747307175	"ENSG00000130751"	NA	NA	0.999055673530808	NA
-17.7432375580212	-39.128324754385	-0.245925777707588	0.809817156771343	0.999055673530808	-4.59530747586984	"ENSG00000080839"	NA	NA	0.999055673530808	NA
-12.4883192445128	-57.2711217675994	-0.245871742370567	0.809858043726885	0.999055673530808	-4.5953074815812	"ENSG00000130723"	NA	NA	0.999055673530808	NA
9.55130176233215	-6.80343384202308	0.245832072637034	0.809888061023599	0.999055673530808	-4.59530748577338	"ENSG00000055163"	NA	NA	0.999055673530808	NA
-18.5886366059586	-65.167412357436	-0.245810298436297	0.809904537261267	0.999055673530808	-4.59530748807413	"ENSG00000198755"	NA	NA	0.999055673530808	NA
19.5565285317592	-27.8468050080946	0.245805016975541	0.809908533684152	0.999055673530808	-4.59530748863216	"ENSG00000163803"	NA	NA	0.999055673530808	NA
16.3178585008533	-28.0752184935628	0.245724595212888	0.809969388631544	0.999055673530808	-4.59530749712794	"ENSG00000168477"	NA	NA	0.999055673530808	NA
11.7189297251256	-80.6652268104916	0.245638187213558	0.810034774791937	0.999055673530808	-4.59530750625307	"ENSG00000078070"	NA	NA	0.999055673530808	NA
15.3660127163572	48.6609034761207	0.24562833310226	0.810042231632828	0.999055673530808	-4.59530750729351	"ENSG00000136141"	NA	NA	0.999055673530808	NA
9.47223783253593	-77.0981178509923	0.2456085384594	0.810057210769593	0.999055673530808	-4.59530750938341	"ENSG00000272886"	NA	NA	0.999055673530808	NA
19.647880752221	-1.66727423121341	0.245581630065967	0.810077573197782	0.999055673530808	-4.59530751222409	"ENSG00000285162"	NA	NA	0.999055673530808	NA
11.6900269543299	-80.787232609432	0.245429411404557	0.810192764576415	0.999055673530808	-4.59530752828789	"ENSG00000124198"	NA	NA	0.999055673530808	NA
9.55945277322936	8.52973756225155	0.245392978929983	0.810220335516358	0.999055673530808	-4.5953075321312	"ENSG00000258285"	NA	NA	0.999055673530808	NA
