barcode	manifest	individual	diagnosis	sex	total_counts	total_features_by_counts	pc_mito	pc_ribo	is_singlet	clusters	partitions	Allan2019_ML1	Allan2019_ML2	Zeisel2018_ML4	Zeisel2018_ML5	allan_celltype	allan_layer	allan_cluster_gene_1	allan_cluster_gene_2	cluster_celltype
fonij_1_MOL1_1715	fonij	1	Cases	F	2250	1061	0	0.0362445414847162	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1716	fonij	1	Cases	F	1662	858	0	0.0400943396226415	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1717	fonij	1	Cases	F	1624	887	0	0.0270921131848284	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1718	fonij	1	Cases	F	4142	1570	0	0.0250531789175136	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1719	fonij	1	Cases	F	1904	955	0	0.0256016385048643	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1720	fonij	1	Cases	F	1907	895	0	0.0308641975308642	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1721	fonij	1	Cases	F	1733	925	0	0.0292628024760833	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1722	fonij	1	Cases	F	2765	1215	0	0.024621878297573	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1723	fonij	1	Cases	F	2694	1230	0	0.0173661360347323	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1724	fonij	1	Cases	F	2208	1060	0	0.0374284456186702	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1725	fonij	1	Cases	F	2594	1184	0	0.0217799474277131	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1726	fonij	1	Cases	F	2138	1048	0	0.0173833485818847	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1727	fonij	1	Cases	F	1783	901	0	0.0301535087719298	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1728	fonij	1	Cases	F	1811	922	0	0.0276273022751896	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1729	fonij	1	Cases	F	2397	1134	0	0.0270488494146145	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1730	fonij	1	Cases	F	2264	1133	0	0.0328358208955224	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1731	fonij	1	Cases	F	2398	1064	0	0.0304878048780488	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1732	fonij	1	Cases	F	1834	961	0	0.0249469214437367	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1733	fonij	1	Cases	F	2242	1068	0	0.0352020860495437	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1734	fonij	1	Cases	F	2906	1219	0	0.029659588810246	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1735	fonij	1	Cases	F	3522	1467	0	0.0252497225305216	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1736	fonij	1	Cases	F	2689	1260	0	0.0191059841384283	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1737	fonij	1	Cases	F	2345	1077	0	0.0279399499582986	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1738	fonij	1	Cases	F	2781	1275	0	0.0312829525483304	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1739	fonij	1	Cases	F	1947	922	0	0.027693856998993	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1740	fonij	1	Cases	F	2949	1302	0	0.0248921340856289	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1741	fonij	1	Cases	F	2839	1211	0	0.0285419532324622	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1742	fonij	1	Cases	F	2009	1044	0	0.0243427458617332	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1743	fonij	1	Cases	F	2243	1091	0	0.023053501522401	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1744	fonij	1	Cases	F	1868	940	0	0.0141139571353894	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1745	fonij	1	Cases	F	2806	1207	0	0.0159279778393352	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1746	fonij	1	Cases	F	3286	1473	0	0.0357670706473544	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1747	fonij	1	Cases	F	2306	1082	0	0.0299199325747998	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1748	fonij	1	Cases	F	2365	1041	0	0.0391107451626184	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1749	fonij	1	Cases	F	3571	1446	0	0.0199181446111869	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1750	fonij	1	Cases	F	2349	1103	0	0.0281456953642384	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1751	fonij	1	Cases	F	3248	1441	0	0.0315315315315315	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1752	fonij	1	Cases	F	1896	955	0	0.0420081967213115	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1753	fonij	1	Cases	F	2595	1065	0	0.029045643153527	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1754	fonij	1	Cases	F	1889	937	0	0.0248447204968944	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1755	fonij	1	Cases	F	1866	959	0	0.0323422013562859	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1756	fonij	1	Cases	F	2294	1052	0	0.0373514431239389	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1757	fonij	1	Cases	F	2895	1329	0	0.034366576819407	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1758	fonij	1	Cases	F	1888	857	0	0.0278925619834711	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1759	fonij	1	Cases	F	1672	874	0	0.0298594847775176	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1760	fonij	1	Cases	F	2496	1159	0	0.0312256049960968	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1761	fonij	1	Cases	F	2159	1067	0	0.0244122965641953	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1763	fonij	1	Cases	F	1847	945	0	0.0283167278447824	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1764	fonij	1	Cases	F	1814	933	0	0.0290166577109081	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1765	fonij	1	Cases	F	4595	1839	0	0.0195246179966044	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
